variant,date,pooled_corr,n_obs,direction
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-01-04,-0.025663208806452,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-02-01,-0.02307489593858994,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-03-01,-0.032546478337358305,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-04-01,-0.04713614458608543,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-05-03,-0.0193161725315205,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-06-01,-0.014148778764088422,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-07-01,-0.022075829672241788,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-08-02,-0.030971629508854355,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-09-01,-0.03566976385424665,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-10-01,-0.028998457398558282,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-11-01,-0.0323550186162201,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2021-12-01,-0.013252022873904545,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-01-03,-0.02951963837061291,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-02-01,-0.04263412639594295,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-03-01,-0.03922731773397423,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-04-01,-0.03195308541570353,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-05-02,-0.020186669962144237,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-06-01,-0.010432808394768912,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-07-01,-0.006454139015477256,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-08-01,-0.0034275677664061463,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-09-01,-0.0024696616334286352,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-10-03,-0.0038522008623930485,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-11-01,-0.02173420526960739,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2022-12-01,-0.03899017235447269,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-01-03,-0.027855312648822905,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-02-01,-0.015853000179152886,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-03-01,-0.00924505068425486,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-04-03,-0.011239228575856007,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-05-01,-0.016896168152947595,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-06-01,-0.025843937078759798,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-07-03,-0.026436496435342828,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-08-01,-0.03035831145824792,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-09-01,-0.031168548930384437,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-10-02,-0.02366901272507651,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-11-01,-0.016293542854007605,252,-1
Equity Minimum-Variance | adaptive tilt / plain lexicon,2023-12-01,-0.0023997780532409897,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-01-04,-0.02119370347984491,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-02-01,-0.021206069484347966,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-03-01,-0.03077441860864783,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-04-01,-0.04592703558562442,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-05-03,-0.019546684324636757,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-06-01,-0.014495669610014967,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-07-01,-0.021019424122573144,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-08-02,-0.02845970152622625,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-09-01,-0.03237991034686717,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-10-01,-0.022856011351182544,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-11-01,-0.02827331716340411,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2021-12-01,-0.01735675946143788,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-01-03,-0.036282259624704785,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-02-01,-0.04375064138126054,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-03-01,-0.03443465863624076,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-04-01,-0.027833138683213132,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-05-02,-0.02356291831192451,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-06-01,-0.014980480040409389,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-07-01,-0.007603127231783013,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-08-01,-0.0012760752224736758,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-09-01,0.0017413412382979194,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-10-03,0.005731152977868496,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-11-01,-0.00909099384383015,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2022-12-01,-0.02079096932633693,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-01-03,-0.011813955758132199,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-02-01,0.003952026592350867,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-03-01,0.006056637222116963,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-04-03,0.009895200729840245,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-05-01,0.0030053310297100734,252,1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-06-01,-0.007530355964131048,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-07-03,-0.015993293232062035,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-08-01,-0.017569507574838085,252,-1
Equity Minimum-Variance | adaptive tilt / extended lexicon,2023-09-01,-0.027979347690255153,252,-1
