fund,family,method,ann_return,ann_return_arithmetic,ann_vol,sharpe,max_drawdown,growth_of_1,n_assets_held,days_per_year,first_live_date,last_date,n_days
Combined Maximum-Sharpe,Combined,Maximum-Sharpe,0.24011927527631172,0.2467685862953967,0.25151648111869157,0.9811229276022897,-0.2582129955303567,1.902294329213608,8,252,2021-01-04,2023-12-29,753
Combined Risk Parity,Combined,Risk Parity,0.13967271656876745,0.14389521353409102,0.1620188280475995,0.8881388371221648,-0.19474639690661055,1.4779661938283315,60,252,2021-01-04,2023-12-29,753
Combined Equal-Weight,Combined,Equal-Weight,0.15135261955180912,0.1643369301144302,0.2160038524438883,0.760805551637651,-0.2787245867171564,1.5236892003153528,60,252,2021-01-04,2023-12-29,753
Combined Minimum-Variance,Combined,Minimum-Variance,0.05413485553675379,0.060853560869595466,0.12753247707794313,0.4771612867866122,-0.15405232926907086,1.1706200215831726,19,252,2021-01-04,2023-12-29,753
Crypto Risk Parity,Crypto,Risk Parity,0.44292540952282455,0.6890208443236366,0.7989397665366959,0.8624190122748001,-0.7987488607935959,3.0042193832454878,10,365,2021-01-01,2023-12-31,1095
Crypto Equal-Weight,Crypto,Equal-Weight,0.40504717633695253,0.6787073406510915,0.8189033644058297,0.8288002835884549,-0.8157130881593317,2.773784516186696,10,365,2021-01-01,2023-12-31,1095
Crypto Minimum-Variance,Crypto,Minimum-Variance,0.3201197875331441,0.4893304208414369,0.6495823048587279,0.7533001086719214,-0.7577725570455323,2.3005942102172203,3,365,2021-01-01,2023-12-31,1095
Crypto Maximum-Sharpe,Crypto,Maximum-Sharpe,-0.23546180991113708,0.05217948703937765,0.7983393847185264,0.06536003113234201,-0.8887624043900475,0.4468868262367393,3,365,2021-01-01,2023-12-31,1095
Equity Equal-Weight,Equity,Equal-Weight,0.12642379781817592,0.1320533852449252,0.16117980666586595,0.8192923665597804,-0.20249210152511632,1.4272168148150375,50,252,2021-01-04,2023-12-29,753
Equity Risk Parity,Equity,Risk Parity,0.09911018632759849,0.10506335018598817,0.1452835500040012,0.7231606756793502,-0.18493151342419345,1.3262796695558117,50,252,2021-01-04,2023-12-29,753
Equity Maximum-Sharpe,Equity,Maximum-Sharpe,0.0915216959474916,0.10410336816528797,0.18169096207334154,0.5729694365494389,-0.2564841633963325,1.2991052898716753,6,252,2021-01-04,2023-12-29,753
Equity Minimum-Variance,Equity,Minimum-Variance,0.05425010806121078,0.06093055613063965,0.12728138380734236,0.4787075242901689,-0.15252216252159456,1.1710025043354382,18,252,2021-01-04,2023-12-29,753
