method,frequency,n_rebalances,sharpe,ann_return,ann_vol,max_drawdown,sharpe_net_costs,ann_return_net_costs,avg_turnover,annual_turnover
Equal-Weight,weekly,156,0.7690463099573936,0.15085125614096762,0.2119689992717721,-0.2900034063548762,0.7646697454582543,0.14978736359797984,0.01781961543875239,0.9303117159737502
Equal-Weight,fortnightly,78,0.7941554361934038,0.15810134730600178,0.21360184383705627,-0.28429601030600304,0.7909505681162027,0.15731082437784072,0.026490660323962786,0.6915012208868692
Equal-Weight,monthly,36,0.760805551637651,0.15135261955180912,0.2160038524438883,-0.2787245867171564,0.7587457113342456,0.15083505709579015,0.038572799688172205,0.46471771417144514
Equal-Weight,quarterly,12,0.7253048371062754,0.15158478559001853,0.23176803943086063,-0.3116880616893436,0.7242594682394468,0.15130206302826266,0.06716431869654728,0.26972762249450066
Minimum-Variance,weekly,156,0.5195744519725738,0.05941756566276757,0.12649324741007972,-0.15892995482744,0.49246921830857904,0.055785496060103856,0.06626003709960132,3.459249108179983
Minimum-Variance,fortnightly,78,0.4985967950859057,0.05666724026201675,0.12663572470000325,-0.15438037430432539,0.47920310550083267,0.05406884197003681,0.09565389695616362,2.49690969265651
Minimum-Variance,monthly,36,0.4771612867866122,0.05413485553675379,0.12753247707794313,-0.15405232926907086,0.4632535733535101,0.052255803474134055,0.15269405260352156,1.839628745310953
Minimum-Variance,quarterly,12,0.3603376018748615,0.03879135609426654,0.12853669857940914,-0.15601649946176954,0.352213572142883,0.03769233821275342,0.28979881927081136,1.163813584960071
Maximum-Sharpe,weekly,156,0.9705195839277394,0.22912526713307502,0.24286189134946007,-0.25114844135794556,0.9390694483785172,0.21979549968210876,0.1468872316111727,7.668566864672538
Maximum-Sharpe,fortnightly,78,0.9372752822109559,0.22133163270827438,0.24526477517104608,-0.2707927924327681,0.9149971898599282,0.21468388176264352,0.21190269486379018,5.531420146404595
Maximum-Sharpe,monthly,36,0.9811229276022897,0.24011927527631172,0.25151648111869157,-0.2582129955303567,0.9662349801263235,0.23542186959707534,0.32584286433917,3.925692516978685
Maximum-Sharpe,quarterly,12,0.8567145101498317,0.21594338349985565,0.2708227937702776,-0.2442685724043061,0.849722797345114,0.2136357182764521,0.5173725674039246,2.0777352507695457
Risk Parity,weekly,156,0.9016819955947935,0.13961532638385754,0.1589857854382278,-0.2002497655756179,0.8960133572043661,0.13859082062192019,0.017341126094264428,0.9053311407937891
Risk Parity,fortnightly,78,0.9147094399020974,0.14273930731938256,0.1598670980962911,-0.1961390538594635,0.9105964188443832,0.14198983895268946,0.025462968992730314,0.6646747921927052
Risk Parity,monthly,36,0.8881388371221648,0.13967271656876745,0.1620188280475995,-0.19474639690661055,0.8854584042744124,0.1391696433976506,0.03785401334560666,0.45605791377336474
Risk Parity,quarterly,12,0.828362295005662,0.13642099452817003,0.17235714432915067,-0.19092758190064474,0.826907640721639,0.13612835284260005,0.07048683856755865,0.2830706505023869
