sector,n_headlines,n_tickers,mean_compound,neutral_share,n_days_with_news
Comm,11783,5,0.09946375286429603,0.5229568021726215,997
Consumer,25877,5,0.09437270549136298,0.5167136839664567,998
Energy,19365,5,0.1059864394526207,0.43821327136586624,996
Financials,18269,5,0.08961586293721605,0.4925283266736001,998
Healthcare,14697,5,0.10732154181125399,0.5010546370007485,997
Industrials,13156,5,0.09012601854667071,0.49847978108847674,998
Materials,5393,5,0.09555028740960504,0.5759317633969961,940
RealEstate,5339,5,0.13328361116313917,0.5332459262034088,940
Tech,26632,5,0.11580724316611594,0.5029663562631421,1006
Utilities,6319,5,0.17866258901724957,0.39547396739990504,962
