sector,n_days,corr_same_day,p_same_day,corr_next_day,p_next_day,corr_prev_day,p_prev_day
Tech,1005,0.12143706316419796,0.00011372829775123543,-0.031022016335051077,0.3261125735512872,0.03165783959319568,0.3162901887496022
Energy,995,0.12044228472476196,0.00013993606534057132,-0.027146777767440133,0.3925744666258648,0.03389198632878489,0.28574576878877933
Industrials,997,0.11895544206810024,0.00016673765930351527,-0.020260570055438062,0.523034104876515,0.11292003027512665,0.00035610080897046314
Financials,997,0.11819255524953065,0.00018372610496625872,0.0482936860226031,0.12773422300604628,0.07559070036167731,0.017031781098774807
Utilities,961,0.09711622296403188,0.00257988391142913,-0.08814770887212672,0.006277561686908493,0.05346550984847956,0.09780402638457236
Materials,939,0.09578778360952667,0.0033024787582122974,0.014574988214255603,0.655731975160078,0.0612831249725678,0.060632485766407174
Consumer,997,0.0819335414082846,0.009648347023792341,0.0011132659586229037,0.9720079973154099,0.015172315521225027,0.6324676958106406
RealEstate,939,0.06070894042846513,0.06294950852116979,0.0020725382892011757,0.949455461433784,0.03978705566291173,0.22344946952961656
Healthcare,996,0.05254402566119046,0.09745397551951629,-0.023160452822207203,0.46554662275567593,-0.0016557949343260318,0.9583978984188858
Comm,996,0.017637774208017157,0.5782224651261819,-0.0030316027834154068,0.9239115406597903,-0.014142758766669828,0.6559040328273382
