sector,n_days,corr_lagged_sentiment_vs_return,mean_return_high_sentiment,mean_return_low_sentiment,spread_bps_per_day
Consumer,1002,0.02800101525247551,0.0007490222653663824,-0.00026273725532834845,10.117595206947309
Materials,1002,0.02038244850204666,0.0016315642099191023,-0.00011180651110118188,17.433707210202844
Tech,1005,-0.008566923444437559,0.000306471046862665,0.0022609404860066988,-19.54469439144034
Healthcare,1002,-0.011673857028836006,7.022743137997206e-05,0.0009997730415454572,-9.295456101654851
Comm,1002,-0.013861557785732406,0.00035746986510264215,0.0004322566163184804,-0.7478675121583825
Financials,1002,-0.02054556054195548,0.00057810432526091,0.0005733122294753753,0.0479209578553466
RealEstate,1002,-0.036996677273908,-0.00032231948677167527,0.0011276908966598336,-14.500103834315087
Industrials,1002,-0.03942028551487303,-0.0008228275149925571,0.0018967899658931492,-27.196174808857062
Utilities,1002,-0.0518061804682372,-0.0006109157271876611,0.001013663143240442,-16.24578870428103
Energy,1002,-0.07085583527108615,-0.0005632757601566177,0.0026209457633078093,-31.842215234644268
